Alex,60,65,70
Bella,62,68,72
Carl,65,63,75
Diana,68,66,70
Eli,70,64,69
Fiona,63,69,71
George,67,62,73
Holly,64,68,70
Ian,66,67,71
Jane,62,65,74
Kyle,70,66,68
Lara,63,64,72
Mike,65,68,70
Nina,66,65,69
Oscar,69,62,71
Paula,64,66,70
Quinn,68,67,72
Rita,65,64,71
Sam,62,68,70
Tina,67,65,73
Umar,66,69,70
Vera,68,63,74
Will,65,66,70
Xena,64,67,69
Yuri,69,65,71
Zane,67,64,72
Ava,66,66,70
Ben,65,67,71
Cara,64,65,72
Dan,68,66,70
Ella,67,63,71
Finn,66,67,69
Gina,65,66,70
Hank,68,65,72
Ivy,62,67,73
Jake,64,65,70
Kara,69,66,71
Liam,67,63,74
Maya,66,64,72
Nate,65,67,70
Omar,68,66,69
Pia,64,65,71
Quinn,67,64,70
Rose,66,67,72
Sean,65,66,71
Tara,68,65,73
Uma,67,63,70
Vic,66,67,69
Wade,65,66,71
Xara,64,65,72
Yana,69,64,70
Zara,67,66,71
Alan,66,65,72
Bea,65,67,70
Chris,68,66,69
Dana,67,63,71
Evan,66,65,70
Fay,65,66,72
Gus,68,67,70
Hope,62,64,73
Iris,64,65,70
Jack,67,66,71
Kira,66,67,72
Leo,65,63,70
Mila,68,66,69
Noah,67,65,71
Owen,66,64,72
Paige,65,67,70
Quinn,64,66,71
Rex,68,65,69
Sara,67,63,70
Theo,66,67,72
Una,65,64,71
Vince,68,66,70
Wren,67,65,73
Xena,66,63,72
Yuri,65,67,70
Zane,64,66,71
Anna,69,65,70
Blake,67,66,72
Cody,66,64,71
Dora,65,67,70
Eli,68,63,73
Faye,67,65,72
Gabe,66,66,70
Hana,65,67,71
Ivy,64,65,72
Jay,67,66,70
Katy,66,63,71
Lynn,65,64,70
Mark,68,65,72
Nina,67,66,69
Ollie,66,64,71
Paul,65,67,70
Quinn,64,66,72
Rose,67,65,70
Sam,66,63,73
Tia,65,64,71
